# Parameter sweep (sweep_coll)
# Simulation    : dd
# Sweep variable: $Vc
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# base.current             A/cm           real
# collector.current        A/cm           real
# emitter.current          A/cm           real
# --------------------------------------------------
#
# $Vc base.current collector.current emitter.current 
0 -0.0377495 0.0310351 0.00671431
0.05 -0.0150379 -0.022376 0.0374139
0.1 -0.0059813 -0.0486678 0.0546491
0.15 -0.00346506 -0.0595485 0.0630136
0.2 -0.00295665 -0.0644764 0.0674331
0.25 -0.00285965 -0.0672263 0.070086
0.3 -0.00284279 -0.067662 0.0705048
0.35 -0.00284537 -0.0662371 0.0690825
0.4 -0.00284546 -0.0656181 0.0684636
0.45 -0.00284353 -0.0656983 0.0685418
0.5 -0.00284074 -0.0660267 0.0688674
0.55 -0.00283855 -0.0665355 0.0693741
0.6 -0.0028373 -0.0671517 0.069989
0.65 -0.00283653 -0.0676812 0.0705177
0.7 -0.00283588 -0.0680192 0.0708551
0.75 -0.00283512 -0.0681739 0.071009
0.8 -0.00283394 -0.0682096 0.0710436
0.85 -0.00283241 -0.0681523 0.0709847
0.9 -0.00283105 -0.0680277 0.0708587
0.95 -0.00283007 -0.067921 0.070751
1 -0.00282932 -0.0678892 0.0707185
1.05 -0.00282858 -0.0679373 0.0707659
1.1 -0.0028279 -0.0680499 0.0708778
1.15 -0.00282734 -0.0682016 0.071029
1.2 -0.00282689 -0.0683765 0.0712034
1.25 -0.00282649 -0.0685627 0.0713892
1.3 -0.002826 -0.0687475 0.0715735
1.35 -0.00282536 -0.0689228 0.0717482
1.4 -0.00282465 -0.0690804 0.071905
1.45 -0.0028239 -0.0692114 0.0720353
1.5 -0.00282318 -0.0693096 0.0721327
1.55 -0.00282252 -0.0693717 0.0721942
1.6 -0.00282188 -0.0694027 0.0722246
1.65 -0.00282121 -0.0694181 0.0722393
1.7 -0.00282049 -0.0694319 0.0722524
1.75 -0.00281975 -0.0694475 0.0722673
1.8 -0.00281903 -0.0694662 0.0722852
1.85 -0.00281833 -0.0694944 0.0723127
1.9 -0.00281767 -0.0695395 0.0723571
1.95 -0.00281706 -0.0696028 0.0724199
2 -0.00281644 -0.0696817 0.0724981
2.05 -0.00281578 -0.0697723 0.0725881
2.1 -0.00281515 -0.0698703 0.0726855
2.15 -0.00281459 -0.0699719 0.0727864
2.2 -0.00281411 -0.0700746 0.0728888
2.25 -0.00281367 -0.0701774 0.0729911
2.3 -0.00281324 -0.0702788 0.073092
2.35 -0.00281278 -0.0703771 0.0731899
2.4 -0.00281226 -0.0704704 0.0732827
2.45 -0.0028117 -0.0705578 0.0733695
2.5 -0.00281112 -0.0706384 0.0734495
2.55 -0.00281054 -0.0707113 0.0735218
2.6 -0.00280998 -0.0707775 0.0735875
2.65 -0.0028094 -0.0708387 0.0736481
2.7 -0.00280883 -0.070896 0.0737048
2.75 -0.00280828 -0.0709499 0.0737582
2.8 -0.00280772 -0.0710018 0.0738095
2.85 -0.00280714 -0.0710516 0.0738588
2.9 -0.00280654 -0.071097 0.0739036
2.95 -0.00280592 -0.0711377 0.0739436
3 -0.00280528 -0.0711777 0.0739829
