# Parameter sweep (sweep_coll)
# Simulation    : dd
# Sweep variable: $Vc
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# base.current             A/cm           real
# collector.current        A/cm           real
# emitter.current          A/cm           real
# --------------------------------------------------
#
# $Vc base.current collector.current emitter.current 
0 -0.0213519 0.0186162 0.00273572
0.05 -0.00677238 -0.0145469 0.0213193
0.1 -0.00238433 -0.0262395 0.0286239
0.15 -0.00150181 -0.0298688 0.0313706
0.2 -0.00135374 -0.0315566 0.0329103
0.25 -0.00132808 -0.0320438 0.0333719
0.3 -0.00132674 -0.0312925 0.0326192
0.35 -0.00132749 -0.0307665 0.032094
0.4 -0.00132684 -0.0307379 0.0320647
0.45 -0.0013257 -0.0308602 0.0321859
0.5 -0.00132446 -0.0310591 0.0323836
0.55 -0.00132372 -0.0313475 0.0326713
0.6 -0.00132339 -0.0316432 0.0329666
0.65 -0.00132319 -0.0318559 0.0331791
0.7 -0.00132296 -0.0319654 0.0332883
0.75 -0.00132264 -0.0319975 0.0333201
0.8 -0.00132203 -0.0319905 0.0333125
0.85 -0.00132129 -0.0319442 0.0332655
0.9 -0.00132068 -0.031871 0.0331917
0.95 -0.00132025 -0.031821 0.0331413
1 -0.00131993 -0.0318115 0.0331314
1.05 -0.0013196 -0.0318406 0.0331602
1.1 -0.0013193 -0.0318995 0.0332188
1.15 -0.00131907 -0.0319746 0.0332936
1.2 -0.0013189 -0.0320598 0.0333787
1.25 -0.00131876 -0.0321499 0.0334687
1.3 -0.00131856 -0.0322379 0.0335565
1.35 -0.0013183 -0.032321 0.0336393
1.4 -0.00131799 -0.0323955 0.0337135
1.45 -0.00131766 -0.0324571 0.0337748
1.5 -0.00131732 -0.0325036 0.0338209
1.55 -0.00131703 -0.0325322 0.0338492
1.6 -0.00131674 -0.0325433 0.03386
1.65 -0.00131644 -0.0325459 0.0338623
1.7 -0.00131612 -0.0325496 0.0338658
1.75 -0.00131579 -0.0325555 0.0338713
1.8 -0.00131545 -0.0325619 0.0338774
1.85 -0.00131513 -0.0325713 0.0338865
1.9 -0.00131483 -0.0325893 0.0339041
1.95 -0.00131456 -0.0326173 0.0339318
2 -0.00131429 -0.0326538 0.033968
2.05 -0.001314 -0.0326964 0.0340104
2.1 -0.0013137 -0.032743 0.0340567
2.15 -0.00131342 -0.0327914 0.0341049
2.2 -0.0013132 -0.0328403 0.0341535
2.25 -0.00131301 -0.0328892 0.0342023
2.3 -0.00131282 -0.0329377 0.0342505
2.35 -0.00131263 -0.032985 0.0342977
2.4 -0.00131241 -0.0330301 0.0343425
2.45 -0.00131216 -0.0330724 0.0343846
2.5 -0.0013119 -0.033112 0.0344239
2.55 -0.00131163 -0.0331476 0.0344593
2.6 -0.00131137 -0.0331793 0.0344907
2.65 -0.00131111 -0.0332082 0.0345193
2.7 -0.00131085 -0.0332354 0.0345462
2.75 -0.00131059 -0.0332612 0.0345718
2.8 -0.00131034 -0.0332858 0.0345962
2.85 -0.00131008 -0.0333103 0.0346204
2.9 -0.00130981 -0.0333341 0.0346439
2.95 -0.00130953 -0.0333549 0.0346645
3 -0.00130924 -0.0333732 0.0346824
