# Parameter sweep (sweep_coll)
# Simulation    : dd
# Sweep variable: $Vc
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# base.current             A/cm           real
# collector.current        A/cm           real
# emitter.current          A/cm           real
# --------------------------------------------------
#
# $Vc base.current collector.current emitter.current 
0 -0.00608099 0.00566568 0.000415306
0.05 -0.00135445 -0.00411458 0.00546903
0.1 -0.000450482 -0.00613133 0.00658182
0.15 -0.000309151 -0.00673489 0.00704404
0.2 -0.000286911 -0.00701425 0.00730117
0.25 -0.000283458 -0.00699673 0.00728019
0.3 -0.000283671 -0.00675031 0.00703398
0.35 -0.000283795 -0.00665356 0.00693735
0.4 -0.000283637 -0.00665753 0.00694116
0.45 -0.00028338 -0.00668511 0.00696849
0.5 -0.000283116 -0.00672301 0.00700613
0.55 -0.000282966 -0.00678239 0.00706535
0.6 -0.000282936 -0.00684987 0.00713281
0.65 -0.00028292 -0.00690021 0.00718313
0.7 -0.000282891 -0.00692725 0.00721014
0.75 -0.000282846 -0.0069342 0.00721705
0.8 -0.000282748 -0.00693231 0.00721506
0.85 -0.000282584 -0.00692738 0.00720996
0.9 -0.000282433 -0.00691405 0.00719649
0.95 -0.000282325 -0.00689641 0.00717874
1 -0.000282255 -0.00688804 0.00717029
1.05 -0.000282195 -0.00688792 0.00717012
1.1 -0.000282129 -0.00689602 0.00717815
1.15 -0.00028207 -0.00690981 0.00719188
1.2 -0.000282034 -0.00692618 0.00720822
1.25 -0.000282012 -0.00694459 0.0072266
1.3 -0.000281989 -0.00696411 0.0072461
1.35 -0.000281949 -0.00698273 0.00726468
1.4 -0.000281894 -0.0070002 0.0072821
1.45 -0.000281835 -0.00701609 0.00729792
1.5 -0.000281768 -0.00702929 0.00731106
1.55 -0.000281697 -0.00703968 0.00732138
1.6 -0.000281631 -0.00704695 0.00732858
1.65 -0.000281575 -0.00704983 0.00733141
1.7 -0.000281515 -0.0070493 0.00733082
1.75 -0.00028145 -0.00704915 0.0073306
1.8 -0.00028138 -0.0070505 0.00733188
1.85 -0.000281311 -0.00705197 0.00733328
1.9 -0.000281243 -0.00705307 0.00733431
1.95 -0.000281178 -0.00705523 0.00733641
2 -0.000281122 -0.00705995 0.00734107
2.05 -0.000281068 -0.00706702 0.00734809
2.1 -0.000281012 -0.00707583 0.00735684
2.15 -0.000280951 -0.00708576 0.00736671
2.2 -0.000280886 -0.00709624 0.00737713
2.25 -0.000280831 -0.00710676 0.00738759
2.3 -0.000280789 -0.0071172 0.00739799
2.35 -0.000280753 -0.00712773 0.00740849
2.4 -0.000280717 -0.00713814 0.00741886
2.45 -0.000280676 -0.0071483 0.00742898
2.5 -0.000280626 -0.00715785 0.00743848
2.55 -0.00028057 -0.00716681 0.00744738
2.6 -0.000280512 -0.00717547 0.00745598
2.65 -0.000280455 -0.00718316 0.00746362
2.7 -0.000280401 -0.00718976 0.00747016
2.75 -0.000280345 -0.00719576 0.0074761
2.8 -0.000280289 -0.00720153 0.00748182
2.85 -0.000280234 -0.0072072 0.00748743
2.9 -0.000280179 -0.00721263 0.0074928
2.95 -0.000280124 -0.00721806 0.00749818
3 -0.000280066 -0.00722384 0.00750391
