# Parameter sweep (sweep_coll)
# Simulation    : dd
# Sweep variable: $Vc
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# base.current             A/cm           real
# collector.current        A/cm           real
# emitter.current          A/cm           real
# --------------------------------------------------
#
# $Vc base.current collector.current emitter.current 
0 -0.000154611 0.00014862 5.99066e-06
0.05 -2.77203e-05 -9.49617e-05 0.000122682
0.1 -9.08109e-06 -0.00013363 0.000142711
0.15 -6.34391e-06 -0.000146107 0.000152451
0.2 -5.91397e-06 -0.000153001 0.000158915
0.25 -5.83875e-06 -0.000155541 0.00016138
0.3 -5.84824e-06 -0.000151066 0.000156915
0.35 -5.86056e-06 -0.000144416 0.000150276
0.4 -5.86084e-06 -0.000142817 0.000148678
0.45 -5.85778e-06 -0.000143052 0.000148909
0.5 -5.85122e-06 -0.000143631 0.000149482
0.55 -5.8463e-06 -0.000144227 0.000150073
0.6 -5.84325e-06 -0.000145014 0.000150858
0.65 -5.8432e-06 -0.000146302 0.000152146
0.7 -5.84432e-06 -0.000147545 0.00015339
0.75 -5.84418e-06 -0.000148343 0.000154187
0.8 -5.84333e-06 -0.000148742 0.000154585
0.85 -5.84242e-06 -0.000148762 0.000154604
0.9 -5.84027e-06 -0.000148653 0.000154493
0.95 -5.83654e-06 -0.000148579 0.000154416
1 -5.83345e-06 -0.000148494 0.000154327
1.05 -5.83157e-06 -0.000148224 0.000154055
1.1 -5.83037e-06 -0.000147872 0.000153702
1.15 -5.82939e-06 -0.000147801 0.00015363
1.2 -5.82832e-06 -0.000147834 0.000153663
1.25 -5.827e-06 -0.000148028 0.000153855
1.3 -5.82583e-06 -0.000148318 0.000154144
1.35 -5.82544e-06 -0.000148627 0.000154453
1.4 -5.82535e-06 -0.000148969 0.000154794
1.45 -5.82489e-06 -0.000149359 0.000155184
1.5 -5.82389e-06 -0.000149723 0.000155547
1.55 -5.82272e-06 -0.00015006 0.000155883
1.6 -5.82165e-06 -0.000150374 0.000156196
1.65 -5.82056e-06 -0.000150658 0.000156478
1.7 -5.81913e-06 -0.00015088 0.000156699
1.75 -5.81759e-06 -0.000151066 0.000156883
1.8 -5.81624e-06 -0.000151221 0.000157037
1.85 -5.81519e-06 -0.000151306 0.000157121
1.9 -5.81405e-06 -0.000151269 0.000157083
1.95 -5.81273e-06 -0.000151243 0.000157056
2 -5.81134e-06 -0.000151296 0.000157107
2.05 -5.80995e-06 -0.00015137 0.00015718
2.1 -5.80859e-06 -0.000151414 0.000157222
2.15 -5.80738e-06 -0.000151439 0.000157246
2.2 -5.80629e-06 -0.000151506 0.000157312
2.25 -5.80516e-06 -0.000151635 0.000157441
2.3 -5.80408e-06 -0.000151809 0.000157613
2.35 -5.80292e-06 -0.000152014 0.000157817
2.4 -5.80158e-06 -0.000152239 0.00015804
2.45 -5.80015e-06 -0.000152466 0.000158267
2.5 -5.79904e-06 -0.000152684 0.000158483
2.55 -5.79831e-06 -0.000152892 0.000158691
2.6 -5.79767e-06 -0.000153105 0.000158902
2.65 -5.79686e-06 -0.000153322 0.000159118
2.7 -5.79583e-06 -0.000153533 0.000159329
2.75 -5.79464e-06 -0.000153733 0.000159528
2.8 -5.79333e-06 -0.000153912 0.000159706
2.85 -5.79201e-06 -0.000154097 0.000159889
2.9 -5.79076e-06 -0.000154286 0.000160076
2.95 -5.78955e-06 -0.000154441 0.000160231
3 -5.78838e-06 -0.000154573 0.000160362
