# Parameter sweep (sweep_coll)
# Simulation    : dd
# Sweep variable: $Vc
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# base.current             A/cm           real
# collector.current        A/cm           real
# emitter.current          A/cm           real
# --------------------------------------------------
#
# $Vc base.current collector.current emitter.current 
0 -0.0116332 0.0105628 0.00107041
0.05 -0.00301327 -0.0081197 0.011133
0.1 -0.00101452 -0.0129072 0.0139217
0.15 -0.000677029 -0.014311 0.0149881
0.2 -0.000623141 -0.0149578 0.015581
0.25 -0.000614477 -0.0149779 0.0155923
0.3 -0.000614606 -0.0145098 0.0151244
0.35 -0.000614837 -0.014318 0.0149329
0.4 -0.000614478 -0.0143277 0.0149422
0.45 -0.000613923 -0.0143894 0.0150033
0.5 -0.000613367 -0.0144812 0.0150946
0.55 -0.000613062 -0.0146183 0.0152314
0.6 -0.000612967 -0.0147588 0.0153718
0.65 -0.000612906 -0.0148578 0.0154707
0.7 -0.000612823 -0.0149069 0.0155198
0.75 -0.0006127 -0.0149181 0.0155308
0.8 -0.000612433 -0.014914 0.0155265
0.85 -0.000612082 -0.0148958 0.0155078
0.9 -0.000611781 -0.0148605 0.0154722
0.95 -0.000611574 -0.0148306 0.0154421
1 -0.000611429 -0.0148211 0.0154326
1.05 -0.000611286 -0.0148296 0.0154409
1.1 -0.000611142 -0.0148541 0.0154652
1.15 -0.000611035 -0.0148874 0.0154984
1.2 -0.000610963 -0.0149255 0.0155365
1.25 -0.000610909 -0.0149674 0.0155783
1.3 -0.000610838 -0.015009 0.0156199
1.35 -0.000610731 -0.0150484 0.0156592
1.4 -0.000610602 -0.0150849 0.0156955
1.45 -0.00061046 -0.0151161 0.0157266
1.5 -0.000610305 -0.0151409 0.0157513
1.55 -0.000610158 -0.0151587 0.0157689
1.6 -0.00061003 -0.0151675 0.0157775
1.65 -0.000609901 -0.0151686 0.0157785
1.7 -0.000609761 -0.0151684 0.0157782
1.75 -0.00060961 -0.0151706 0.0157802
1.8 -0.000609456 -0.0151735 0.0157829
1.85 -0.000609307 -0.0151761 0.0157854
1.9 -0.000609162 -0.0151807 0.0157899
1.95 -0.000609031 -0.0151904 0.0157994
2 -0.000608913 -0.0152049 0.0158138
2.05 -0.00060879 -0.0152232 0.015832
2.1 -0.000608656 -0.0152441 0.0158528
2.15 -0.000608518 -0.0152665 0.015875
2.2 -0.000608396 -0.0152892 0.0158976
2.25 -0.000608301 -0.015312 0.0159203
2.3 -0.00060822 -0.0153348 0.015943
2.35 -0.000608139 -0.0153573 0.0159654
2.4 -0.000608051 -0.0153792 0.0159873
2.45 -0.000607946 -0.0153999 0.0160079
2.5 -0.000607827 -0.0154194 0.0160272
2.55 -0.000607703 -0.0154378 0.0160455
2.6 -0.000607581 -0.0154541 0.0160617
2.65 -0.000607463 -0.0154684 0.0160759
2.7 -0.000607343 -0.0154815 0.0160888
2.75 -0.000607222 -0.015494 0.0161012
2.8 -0.000607103 -0.015506 0.0161131
2.85 -0.000606986 -0.0155175 0.0161245
2.9 -0.000606867 -0.0155292 0.016136
2.95 -0.000606742 -0.015541 0.0161477
3 -0.000606611 -0.0155513 0.0161579
