# Parameter sweep (sweep_forward)
# Simulation    : driftdiffusion
# Sweep variable: $Vg
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# anode.current            A/cm^2         real
# cathode.current          A/cm^2         real
# --------------------------------------------------
#
# $Vg anode.current cathode.current 
4.125 -0.00206511 0.00206511
4.15 -0.00208704 0.00208704
4.175 -0.00210908 0.00210908
4.2 -0.00213123 0.00213123
4.225 -0.00215347 0.00215347
4.25 -0.00217583 0.00217583
4.275 -0.00219829 0.00219829
4.3 -0.00222086 0.00222086
4.325 -0.00224354 0.00224354
4.35 -0.00226633 0.00226633
4.375 -0.00228924 0.00228924
4.4 -0.00231226 0.00231226
4.425 -0.0023354 0.0023354
4.45 -0.00235866 0.00235866
4.475 -0.00238204 0.00238204
4.5 -0.00240554 0.00240554
4.525 -0.00242917 0.00242917
4.55 -0.00245292 0.00245292
4.575 -0.0024768 0.0024768
4.6 -0.0025008 0.0025008
4.625 -0.00252494 0.00252494
4.65 -0.00254921 0.00254921
4.675 -0.00257361 0.00257361
4.7 -0.00259815 0.00259815
4.725 -0.00262282 0.00262282
4.75 -0.00264764 0.00264764
4.775 -0.00267259 0.00267259
4.8 -0.00269769 0.00269769
4.825 -0.00272293 0.00272293
4.85 -0.00274832 0.00274832
4.875 -0.00277386 0.00277386
4.9 -0.00279954 0.00279954
4.925 -0.00282538 0.00282538
4.95 -0.00285136 0.00285136
4.975 -0.00287751 0.00287751
5 -0.00290381 0.00290381
5.025 -0.00293027 0.00293027
5.05 -0.00295689 0.00295689
5.075 -0.00298367 0.00298367
5.1 -0.00301061 0.00301061
5.125 -0.00303772 0.00303772
5.15 -0.003065 0.003065
5.175 -0.00309245 0.00309245
5.2 -0.00312007 0.00312007
5.225 -0.00314787 0.00314787
5.25 -0.00317584 0.00317584
5.275 -0.00320398 0.00320398
5.3 -0.00323231 0.00323231
5.325 -0.00326082 0.00326082
5.35 -0.00328951 0.00328951
5.375 -0.00331839 0.00331839
5.4 -0.00334745 0.00334745
5.425 -0.00337671 0.00337671
5.45 -0.00340615 0.00340615
5.475 -0.00343579 0.00343579
5.5 -0.00346563 0.00346563
5.525 -0.00349566 0.00349566
5.55 -0.00352589 0.00352589
5.575 -0.00355633 0.00355633
5.6 -0.00358697 0.00358697
5.625 -0.00361781 0.00361781
5.65 -0.00364887 0.00364887
5.675 -0.00368013 0.00368013
5.7 -0.00371161 0.00371161
5.725 -0.0037433 0.0037433
5.75 -0.00377521 0.00377521
5.775 -0.00380734 0.00380734
5.8 -0.0038397 0.0038397
5.825 -0.00387227 0.00387227
5.85 -0.00390507 0.00390507
5.875 -0.00393811 0.00393811
5.9 -0.00397137 0.00397137
5.925 -0.00400487 0.00400487
5.95 -0.0040386 0.0040386
5.975 -0.00407257 0.00407257
6 -0.00410678 0.00410678
6.025 -0.00414124 0.00414124
6.05 -0.00417594 0.00417594
6.075 -0.00421089 0.00421089
6.1 -0.00424609 0.00424609
6.125 -0.00428154 0.00428154
6.15 -0.00431725 0.00431725
6.175 -0.00435322 0.00435322
6.2 -0.00438945 0.00438945
6.225 -0.00442594 0.00442594
6.25 -0.0044627 0.0044627
6.275 -0.00449972 0.00449972
6.3 -0.00453702 0.00453702
6.325 -0.00457459 0.00457459
6.35 -0.00461244 0.00461244
6.375 -0.00465057 0.00465057
6.4 -0.00468898 0.00468898
6.425 -0.00472768 0.00472768
6.45 -0.00476666 0.00476666
6.475 -0.00480593 0.00480593
6.5 -0.0048455 0.0048455
6.525 -0.00488537 0.00488537
6.55 -0.00492553 0.00492553
6.575 -0.004966 0.004966
6.6 -0.00500677 0.00500677
6.625 -0.00504785 0.00504785
6.65 -0.00508924 0.00508924
6.675 -0.00513094 0.00513094
6.7 -0.00517297 0.00517297
6.725 -0.00521531 0.00521531
6.75 -0.00525797 0.00525797
6.775 -0.00530096 0.00530096
6.8 -0.00534429 0.00534429
6.825 -0.00538794 0.00538794
6.85 -0.00543193 0.00543193
6.875 -0.00547626 0.00547626
6.9 -0.00552093 0.00552093
6.925 -0.00556595 0.00556595
6.95 -0.00561132 0.00561132
6.975 -0.00565704 0.00565704
7 -0.00570311 0.00570311
7.025 -0.00574955 0.00574955
7.05 -0.00579635 0.00579635
7.075 -0.00584351 0.00584351
7.1 -0.00589104 0.00589104
7.125 -0.00593895 0.00593895
7.15 -0.00598723 0.00598723
7.175 -0.00603589 0.00603589
7.2 -0.00608494 0.00608494
7.225 -0.00613437 0.00613437
7.25 -0.0061842 0.0061842
7.275 -0.00623442 0.00623442
7.3 -0.00628504 0.00628504
7.325 -0.00633606 0.00633606
7.35 -0.00638749 0.00638749
7.375 -0.00643933 0.00643933
7.4 -0.00649158 0.00649158
7.425 -0.00654425 0.00654425
7.45 -0.00659734 0.00659734
7.475 -0.00665085 0.00665085
7.5 -0.0067048 0.0067048
7.525 -0.00675918 0.00675918
7.55 -0.006814 0.006814
7.575 -0.00686926 0.00686926
7.6 -0.00692497 0.00692497
7.625 -0.00698113 0.00698113
7.65 -0.00703774 0.00703774
7.675 -0.00709481 0.00709481
7.7 -0.00715234 0.00715234
7.725 -0.00721034 0.00721034
7.75 -0.00726882 0.00726882
7.775 -0.00732777 0.00732777
7.8 -0.0073872 0.0073872
7.825 -0.00744712 0.00744712
7.85 -0.00750752 0.00750752
7.875 -0.00756842 0.00756842
7.9 -0.00762982 0.00762982
7.925 -0.00769173 0.00769173
7.95 -0.00775414 0.00775414
7.975 -0.00781706 0.00781706
8 -0.00788051 0.00788051
