# Parameter sweep (sweep_forward)
# Simulation    : driftdiffusion
# Sweep variable: $Vg
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# anode.current            A/cm^2         real
# cathode.current          A/cm^2         real
# --------------------------------------------------
#
# $Vg anode.current cathode.current 
0 0 0
0.025 8.70099e-20 -8.70099e-20
0.05 -4.74673e-19 4.74673e-19
0.075 2.88618e-19 -2.88618e-19
0.1 8.76806e-19 -8.76806e-19
0.125 5.07463e-19 -5.07463e-19
0.15 -1.4167e-19 1.4167e-19
0.175 4.74496e-19 -4.74496e-19
0.2 1.17529e-18 -1.17529e-18
0.225 -1.98055e-19 1.98055e-19
0.25 -6.17153e-19 6.17153e-19
0.275 -6.67761e-19 6.67761e-19
0.3 -1.6307e-18 1.6307e-18
0.325 -1.13626e-18 1.13626e-18
0.35 1.41121e-18 -1.41121e-18
0.375 -3.79904e-18 3.79904e-18
0.4 2.04088e-18 -2.04088e-18
0.425 1.20136e-18 -1.20136e-18
0.45 -1.41032e-18 1.41032e-18
0.475 -4.62641e-19 4.62641e-19
0.5 2.01498e-18 -2.01498e-18
0.525 2.74788e-18 -2.74788e-18
0.55 -3.8342e-18 3.8342e-18
0.575 -1.36078e-19 1.36078e-19
0.6 -4.52302e-18 4.52302e-18
0.625 -9.30582e-18 9.30582e-18
0.65 -1.46778e-17 1.46778e-17
0.675 -2.14716e-17 2.14716e-17
0.7 -6.89008e-17 6.89008e-17
0.725 -1.81225e-16 1.81225e-16
0.75 -4.75436e-16 4.75436e-16
0.775 -1.20528e-15 1.20528e-15
0.8 -3.20228e-15 3.20228e-15
0.825 -8.24989e-15 8.24989e-15
0.85 -2.14453e-14 2.14453e-14
0.875 -5.57086e-14 5.57086e-14
0.9 -1.44246e-13 1.44246e-13
0.925 -3.72754e-13 3.72754e-13
0.95 -9.61525e-13 9.61525e-13
0.975 -2.47502e-12 2.47502e-12
1 -6.35645e-12 6.35645e-12
1.025 -1.62861e-11 1.62861e-11
1.05 -4.1616e-11 4.1616e-11
1.075 -1.06046e-10 1.06046e-10
1.1 -2.69408e-10 2.69408e-10
1.125 -6.82036e-10 6.82036e-10
1.15 -1.71988e-09 1.71988e-09
1.175 -4.31523e-09 4.31523e-09
1.2 -1.07526e-08 1.07526e-08
1.225 -2.6511e-08 2.6511e-08
1.25 -6.41946e-08 6.41946e-08
1.275 -1.5067e-07 1.5067e-07
1.3 -3.40596e-07 3.40596e-07
1.325 -7.25018e-07 7.25018e-07
1.35 -1.46035e-06 1.46035e-06
1.375 -2.17499e-06 2.17499e-06
1.4 -3.1944e-06 3.1944e-06
1.425 -4.51923e-06 4.51923e-06
1.45 -6.17489e-06 6.17489e-06
1.475 -8.15283e-06 8.15283e-06
1.5 -1.05038e-05 1.05038e-05
1.525 -1.32131e-05 1.32131e-05
1.55 -1.62862e-05 1.62862e-05
1.575 -1.97288e-05 1.97288e-05
1.6 -2.35467e-05 2.35467e-05
1.625 -2.77454e-05 2.77454e-05
1.65 -3.23309e-05 3.23309e-05
1.675 -3.7309e-05 3.7309e-05
1.7 -4.26857e-05 4.26857e-05
1.725 -4.84667e-05 4.84667e-05
1.75 -5.46578e-05 5.46578e-05
1.775 -6.12648e-05 6.12648e-05
1.8 -6.82933e-05 6.82933e-05
1.825 -7.57487e-05 7.57487e-05
1.85 -8.36366e-05 8.36366e-05
1.875 -9.19623e-05 9.19623e-05
1.9 -0.000100731 0.000100731
1.925 -0.000109948 0.000109948
1.95 -0.000119619 0.000119619
1.975 -0.000129748 0.000129748
2 -0.000140341 0.000140341
2.025 -0.000151402 0.000151402
2.05 -0.000162936 0.000162936
2.075 -0.000174948 0.000174948
2.1 -0.000187443 0.000187443
2.125 -0.000200425 0.000200425
2.15 -0.0002139 0.0002139
2.175 -0.00022787 0.00022787
2.2 -0.000242342 0.000242342
2.225 -0.000257319 0.000257319
2.25 -0.000272806 0.000272806
2.275 -0.000288807 0.000288807
2.3 -0.000305326 0.000305326
2.325 -0.000322368 0.000322368
