# Parameter sweep (sweep_forward)
# Simulation    : driftdiffusion
# Sweep variable: $Vg
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# anode.current            A/cm^2         real
# cathode.current          A/cm^2         real
# --------------------------------------------------
#
# $Vg anode.current cathode.current 
0 0 0
0.025 -4.72912e-19 4.72912e-19
0.05 -1.11739e-18 1.11739e-18
0.075 -1.80793e-18 1.80793e-18
0.1 -2.31796e-18 2.31796e-18
0.125 -3.6222e-18 3.6222e-18
0.15 -4.73826e-18 4.73826e-18
0.175 -6.4521e-18 6.4521e-18
0.2 -9.21886e-18 9.21886e-18
0.225 -1.29944e-17 1.29944e-17
0.25 -1.87439e-17 1.87439e-17
0.275 -2.81903e-17 2.81903e-17
0.3 -4.53622e-17 4.53622e-17
0.325 -7.19668e-17 7.19668e-17
0.35 -1.17505e-16 1.17505e-16
0.375 -1.89472e-16 1.89472e-16
0.4 -3.09599e-16 3.09599e-16
0.425 -5.17291e-16 5.17291e-16
0.45 -8.96539e-16 8.96539e-16
0.475 -1.59667e-15 1.59667e-15
0.5 -2.83803e-15 2.83803e-15
0.525 -4.96047e-15 4.96047e-15
0.55 -8.72256e-15 8.72256e-15
0.575 -1.55115e-14 1.55115e-14
0.6 -2.75725e-14 2.75725e-14
0.625 -4.85164e-14 4.85164e-14
0.65 -8.38629e-14 8.38629e-14
0.675 -1.44154e-13 1.44154e-13
0.7 -2.49748e-13 2.49748e-13
0.725 -4.33554e-13 4.33554e-13
0.75 -7.49704e-13 7.49704e-13
0.775 -1.28468e-12 1.28468e-12
0.8 -2.17893e-12 2.17893e-12
0.825 -3.69487e-12 3.69487e-12
0.85 -6.28973e-12 6.28973e-12
0.875 -1.07078e-11 1.07078e-11
0.9 -1.81706e-11 1.81706e-11
0.925 -3.06501e-11 3.06501e-11
0.95 -5.14094e-11 5.14094e-11
0.975 -8.62322e-11 8.62322e-11
1 -1.44868e-10 1.44868e-10
1.025 -2.43243e-10 2.43243e-10
1.05 -4.0744e-10 4.0744e-10
1.075 -6.79922e-10 6.79922e-10
1.1 -1.1311e-09 1.1311e-09
1.125 -1.8809e-09 1.8809e-09
1.15 -3.12818e-09 3.12818e-09
1.175 -5.19813e-09 5.19813e-09
1.2 -8.62349e-09 8.62349e-09
1.225 -1.42775e-08 1.42775e-08
1.25 -2.35981e-08 2.35981e-08
1.275 -3.89575e-08 3.89575e-08
1.3 -6.42451e-08 6.42451e-08
1.325 -1.05786e-07 1.05786e-07
1.35 -1.73805e-07 1.73805e-07
1.375 -2.84615e-07 2.84615e-07
1.4 -4.63949e-07 4.63949e-07
1.425 -7.51602e-07 7.51602e-07
1.45 -1.2079e-06 1.2079e-06
1.475 -1.92271e-06 1.92271e-06
1.5 -3.02549e-06 3.02549e-06
1.525 -4.69625e-06 4.69625e-06
1.55 -7.17244e-06 7.17244e-06
1.575 -1.07464e-05 1.07464e-05
1.6 -1.57452e-05 1.57452e-05
1.625 -2.24821e-05 2.24821e-05
1.65 -3.11428e-05 3.11428e-05
1.675 -4.20549e-05 4.20549e-05
1.7 -5.5211e-05 5.5211e-05
1.725 -7.03561e-05 7.03561e-05
1.75 -8.72141e-05 8.72141e-05
1.775 -0.00010545 0.00010545
1.8 -0.000124736 0.000124736
1.825 -0.000144793 0.000144793
1.85 -0.000165402 0.000165402
1.875 -0.000186404 0.000186404
1.9 -0.000207683 0.000207683
1.925 -0.000229162 0.000229162
1.95 -0.000250785 0.000250785
1.975 -0.000272516 0.000272516
2 -0.000294329 0.000294329
2.025 -0.000316204 0.000316204
2.05 -0.000338131 0.000338131
2.075 -0.000360101 0.000360101
2.1 -0.00038211 0.00038211
2.125 -0.000404156 0.000404156
2.15 -0.000426237 0.000426237
2.175 -0.000448354 0.000448354
2.2 -0.000470509 0.000470509
2.225 -0.000492705 0.000492705
2.25 -0.000514945 0.000514945
2.275 -0.000537233 0.000537233
2.3 -0.000559572 0.000559572
2.325 -0.000581967 0.000581967
2.35 -0.000604423 0.000604423
2.375 -0.000626945 0.000626945
2.4 -0.000649538 0.000649538
2.425 -0.000672174 0.000672174
2.45 -0.000694923 0.000694923
2.475 -0.000717759 0.000717759
2.5 -0.000740687 0.000740687
2.525 -0.000763714 0.000763714
2.55 -0.000786846 0.000786846
2.575 -0.000810087 0.000810087
2.6 -0.000833444 0.000833444
2.625 -0.000856924 0.000856924
2.65 -0.00088053 0.00088053
2.675 -0.000904271 0.000904271
2.7 -0.000928151 0.000928151
2.725 -0.000952177 0.000952177
2.75 -0.000976355 0.000976355
2.775 -0.00100069 0.00100069
2.8 -0.00102519 0.00102519
2.825 -0.00104986 0.00104986
2.85 -0.00107471 0.00107471
2.875 -0.00109974 0.00109974
2.9 -0.00112496 0.00112496
2.925 -0.00115037 0.00115037
2.95 -0.00117599 0.00117599
2.975 -0.00120182 0.00120182
3 -0.00122786 0.00122786
3.025 -0.00125412 0.00125412
3.05 -0.00128062 0.00128062
3.075 -0.00130734 0.00130734
3.1 -0.00133431 0.00133431
3.125 -0.00136153 0.00136153
3.15 -0.00138901 0.00138901
3.175 -0.00141674 0.00141674
3.2 -0.00144475 0.00144475
3.225 -0.00147303 0.00147303
3.25 -0.0015016 0.0015016
3.275 -0.00153045 0.00153045
3.3 -0.00155961 0.00155961
3.325 -0.00158907 0.00158907
3.35 -0.00161885 0.00161885
3.375 -0.00164894 0.00164894
3.4 -0.00167936 0.00167936
3.425 -0.00171012 0.00171012
3.45 -0.00174123 0.00174123
3.475 -0.00177268 0.00177268
3.5 -0.0018045 0.0018045
3.525 -0.00183668 0.00183668
3.55 -0.00186924 0.00186924
3.575 -0.00190218 0.00190218
3.6 -0.00193551 0.00193551
3.625 -0.00196925 0.00196925
3.65 -0.00200339 0.00200339
3.675 -0.00203796 0.00203796
3.7 -0.00207295 0.00207295
