# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Ec
# 3 Ev
# 4 eQFermi
# 5 hQFermi
# 6 eDensity
# 7 hDensity
# 8 eMobility
# 9 hMobility
# 10 ElField_x
# 11 ElField_y
# 12 ElField_z
# 13 Polarization_x
# 14 Polarization_y
# 15 Polarization_z
# 16 eCurrentDensity_x
# 17 eCurrentDensity_y
# 18 eCurrentDensity_z
# 19 hCurrentDensity_x
# 20 hCurrentDensity_y
# 21 hCurrentDensity_z
# x Ec Ev eQFermi hQFermi eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z 
264.059 0.0148834 -3.85482 -2.82416e-05 -2.21825 1.26433e+18 7.79128e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -2.46777e-20 0 0 
272.289 0.0148825 -3.85482 -2.91218e-05 -2.21851 1.26433e+18 7.8684e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -2.5195e-20 0 0 
280.465 0.0148816 -3.85482 -2.99962e-05 -2.21877 1.26433e+18 7.94739e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -2.5714e-20 0 0 
288.586 0.0148808 -3.85482 -3.08648e-05 -2.21903 1.26433e+18 8.02827e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -2.62348e-20 0 0 
296.654 0.0148799 -3.85482 -3.17277e-05 -2.2193 1.26433e+18 8.11107e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -2.67574e-20 0 0 
304.668 0.014879 -3.85482 -3.25849e-05 -2.21957 1.26433e+18 8.19583e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -2.7282e-20 0 0 
312.63 0.0148782 -3.85483 -3.34364e-05 -2.21984 1.26433e+18 8.28256e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -2.78086e-20 0 0 
320.539 0.0148773 -3.85483 -3.42822e-05 -2.22012 1.26433e+18 8.37132e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -2.83373e-20 0 0 
328.395 0.0148765 -3.85483 -3.51225e-05 -2.22039 1.26433e+18 8.46211e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -2.88681e-20 0 0 
336.199 0.0148757 -3.85483 -3.59572e-05 -2.22068 1.26433e+18 8.55499e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -2.94012e-20 0 0 
343.952 0.0148748 -3.85483 -3.67864e-05 -2.22096 1.26433e+18 8.64999e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -2.99366e-20 0 0 
351.654 0.014874 -3.85483 -3.76101e-05 -2.22125 1.26433e+18 8.74714e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -3.04745e-20 0 0 
359.305 0.0148732 -3.85483 -3.84283e-05 -2.22155 1.26433e+18 8.84649e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -3.10147e-20 0 0 
366.905 0.0148724 -3.85483 -3.92411e-05 -2.22184 1.26433e+18 8.94806e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -3.15576e-20 0 0 
374.454 0.0148716 -3.85483 -4.00486e-05 -2.22214 1.26433e+18 9.0519e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -3.2103e-20 0 0 
