# ASCII 1D datafile generated by TiberCAD
# x Strain_11 Strain_22 Strain_33 Strain_12 Strain_23 Strain_13 Stress_11 Stress_22 Stress_33 Stress_12 Stress_23 Stress_13 Displacement_x Displacement_y Displacement_z 
0 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -4.86221e-31 0 0 
9.97664 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -1.21697e-21 0 0 
19.8873 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -2.4259e-21 0 0 
29.7324 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -3.62682e-21 0 0 
39.5124 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -4.81981e-21 0 0 
49.2277 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -6.0049e-21 0 0 
58.8787 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -7.18216e-21 0 0 
68.4659 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -8.35162e-21 0 0 
77.9897 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -9.51335e-21 0 0 
87.4504 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -1.06674e-20 0 0 
96.8487 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -1.18138e-20 0 0 
106.185 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -1.29526e-20 0 0 
115.459 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -1.40839e-20 0 0 
124.672 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -1.52078e-20 0 0 
133.824 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -1.63241e-20 0 0 
142.915 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -1.74331e-20 0 0 
151.947 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -1.85348e-20 0 0 
160.918 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -1.96292e-20 0 0 
169.831 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -2.07163e-20 0 0 
178.684 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -2.17963e-20 0 0 
187.479 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -2.28691e-20 0 0 
196.215 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -2.39348e-20 0 0 
204.894 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -2.49934e-20 0 0 
213.515 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -2.60451e-20 0 0 
222.08 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -2.70898e-20 0 0 
230.587 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -2.81276e-20 0 0 
239.039 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -2.91585e-20 0 0 
247.434 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -3.01826e-20 0 0 
255.774 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -3.11999e-20 0 0 
264.059 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -3.22105e-20 0 0 
272.289 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -3.32144e-20 0 0 
280.465 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -3.42117e-20 0 0 
288.586 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -3.52024e-20 0 0 
296.654 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -3.61865e-20 0 0 
304.668 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -3.71641e-20 0 0 
312.63 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -3.81353e-20 0 0 
320.539 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -3.91e-20 0 0 
328.395 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -4.00584e-20 0 0 
336.199 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -4.10104e-20 0 0 
343.952 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -4.19561e-20 0 0 
351.654 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -4.28955e-20 0 0 
359.305 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -4.38288e-20 0 0 
366.905 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -4.47558e-20 0 0 
374.454 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -4.56768e-20 0 0 
381.954 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -4.65916e-20 0 0 
389.404 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -4.75004e-20 0 0 
396.805 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -4.84032e-20 0 0 
404.157 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -4.93e-20 0 0 
411.461 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -5.01909e-20 0 0 
418.716 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -5.10759e-20 0 0 
425.923 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -5.1955e-20 0 0 
433.082 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -5.28283e-20 0 0 
440.194 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -5.36959e-20 0 0 
447.259 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -5.45577e-20 0 0 
454.277 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -5.54138e-20 0 0 
461.249 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -5.62642e-20 0 0 
468.175 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -5.7109e-20 0 0 
475.055 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -5.79482e-20 0 0 
481.889 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -5.87819e-20 0 0 
488.678 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -5.96101e-20 0 0 
495.423 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -6.04327e-20 0 0 
502.122 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -6.125e-20 0 0 
508.778 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -6.20618e-20 0 0 
515.389 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -6.28683e-20 0 0 
521.956 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -6.36694e-20 0 0 
528.481 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -6.44653e-20 0 0 
534.962 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -6.52558e-20 0 0 
541.4 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -6.60412e-20 0 0 
547.795 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -6.68213e-20 0 0 
554.149 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -6.75963e-20 0 0 
560.46 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -6.83661e-20 0 0 
566.729 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -6.91309e-20 0 0 
572.957 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -6.98906e-20 0 0 
579.144 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -7.06453e-20 0 0 
585.29 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -7.1395e-20 0 0 
591.395 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -7.21397e-20 0 0 
597.46 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -7.28795e-20 0 0 
603.485 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -7.36144e-20 0 0 
609.47 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -7.43445e-20 0 0 
615.415 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -7.50697e-20 0 0 
621.321 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -7.57901e-20 0 0 
627.188 -1.21982e-13 0 0 0 0 0 -4.86221e-11 -1.26862e-11 -1.26862e-11 0 -8.66736e-28 0 -7.65058e-20 0 0 
