# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Ec
# 3 Ev
# 4 ElPotential
# 5 ElField_x
# 6 ElField_y
# 7 ElField_z
# 8 Polarization_x
# 9 Polarization_y
# 10 Polarization_z
# x Ec Ev ElPotential ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z 
24.4585 -0.00916441 -3.44677 2.73644 -1.29426e-07 0 0 -0.0151927 2.08532e-17 0.0247019 
24.8837 -0.00916441 -3.44677 2.73644 -1.04754e-07 0 0 -0.0151927 2.08532e-17 0.0247019 
25.3076 -0.00916441 -3.44677 2.73644 -7.39448e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
25.7303 -0.00916441 -3.44677 2.73644 -5.54632e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
26.1517 -0.00916441 -3.44677 2.73644 -4.93088e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
26.5718 -0.00916441 -3.44677 2.73644 -4.3136e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
26.9907 -0.00916441 -3.44677 2.73644 -3.08088e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
27.4083 -0.00916441 -3.44677 2.73644 -2.46544e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
27.8247 -0.00916441 -3.44677 2.73644 -1.84816e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
28.2398 -0.00916441 -3.44677 2.73644 -1.85e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
28.6537 -0.00916441 -3.44677 2.73644 -2.46544e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
29.0663 -0.00916441 -3.44677 2.73644 -1.84816e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
29.4778 -0.00916441 -3.44677 2.73644 -1.23272e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
29.8879 -0.00916441 -3.44677 2.73644 -1.23272e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
30.2969 -0.00916441 -3.44677 2.73644 -6.15437e-09 0 0 -0.0151927 2.08532e-17 0.0247019 
30.7046 -0.00916441 -3.44677 2.73644 -6.17283e-09 0 0 -0.0151927 2.08532e-17 0.0247019 
31.1112 -0.00916441 -3.44677 2.73644 -6.15438e-09 0 0 -0.0151927 2.08532e-17 0.0247019 
31.5165 -0.00916441 -3.44677 2.73644 -6.17283e-09 0 0 -0.0151927 2.08532e-17 0.0247019 
31.9205 -0.00916441 -3.44677 2.73644 -6.15438e-09 0 0 -0.0151927 2.08532e-17 0.0247019 
32.3234 -0.00916441 -3.44677 2.73644 -6.17283e-09 0 0 -0.0151927 2.08532e-17 0.0247019 
32.7251 -0.00916441 -3.44677 2.73644 -6.15438e-09 0 0 -0.0151927 2.08532e-17 0.0247019 
33.1256 -0.00916441 -3.44677 2.73644 0 0 0 -0.0151927 2.08532e-17 0.0247019 
33.5249 -0.00916441 -3.44677 2.73644 0 0 0 -0.0151927 2.08532e-17 0.0247019 
33.9229 -0.00916441 -3.44677 2.73644 -6.17283e-09 0 0 -0.0151927 2.08532e-17 0.0247019 
34.3198 -0.00916441 -3.44677 2.73644 -1.23272e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
34.7156 -0.00916441 -3.44677 2.73644 -6.15437e-09 0 0 -0.0151927 2.08532e-17 0.0247019 
35.1101 -0.00916441 -3.44677 2.73644 6.17283e-09 0 0 -0.0151927 2.08532e-17 0.0247019 
35.5034 -0.00916441 -3.44677 2.73644 1.23272e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
35.8956 -0.00916441 -3.44677 2.73644 6.15438e-09 0 0 -0.0151927 2.08532e-17 0.0247019 
36.2866 -0.00916441 -3.44677 2.73644 6.17283e-09 0 0 -0.0151927 2.08532e-17 0.0247019 
36.6764 -0.00916441 -3.44677 2.73644 6.15438e-09 0 0 -0.0151927 2.08532e-17 0.0247019 
37.0651 -0.00916441 -3.44677 2.73644 6.17283e-09 0 0 -0.0151927 2.08532e-17 0.0247019 
37.4526 -0.00916441 -3.44677 2.73644 1.23272e-08 0 0 -0.0151927 2.08532e-17 0.0247019 
37.8389 -0.00916441 -3.44677 2.73644 6.15438e-09 0 0 -0.0151927 2.08532e-17 0.0247019 
38.2241 -0.00916441 -3.44677 2.73644 6.17283e-09 0 0 -0.0151927 2.08532e-17 0.0247019 
