# ASCII 1D datafile generated by TiberCAD
# x ProbabilityDensity_0 ProbabilityDensity_1 ProbabilityDensity_2 ProbabilityDensity_3 ProbabilityDensity_4 ProbabilityDensity_5 ProbabilityDensity_6 ProbabilityDensity_7 ProbabilityDensity_8 ProbabilityDensity_9 ProbabilityDensity_10 ProbabilityDensity_11 ProbabilityDensity_12 ProbabilityDensity_13 ProbabilityDensity_14 ProbabilityDensity_15 ProbabilityDensity_16 EigenEnergyOnMesh_0 EigenEnergyOnMesh_1 EigenEnergyOnMesh_2 EigenEnergyOnMesh_3 EigenEnergyOnMesh_4 EigenEnergyOnMesh_5 EigenEnergyOnMesh_6 EigenEnergyOnMesh_7 EigenEnergyOnMesh_8 EigenEnergyOnMesh_9 EigenEnergyOnMesh_10 EigenEnergyOnMesh_11 EigenEnergyOnMesh_12 EigenEnergyOnMesh_13 EigenEnergyOnMesh_14 EigenEnergyOnMesh_15 EigenEnergyOnMesh_16 
-15.7046 9.00603e-18 9.01795e-18 0.46205 0.46205 851674 851674 206418 206418 469055 469055 1.01547e+06 1.01547e+06 59713.1 59713.1 961130 961130 65488.5 -0.100285 -0.100285 -0.111337 -0.111337 -0.170646 -0.170646 -0.183968 -0.183968 -0.204917 -0.204917 -0.20556 -0.20556 -0.20707 -0.20707 -0.209218 -0.209218 -0.2122 
-15.134 2.01857e-16 2.01953e-16 0.803666 0.803666 876014 876014 100724 100724 683975 683975 930855 930855 180115 180115 909531 909531 10256.8 -0.100285 -0.100285 -0.111337 -0.111337 -0.170646 -0.170646 -0.183968 -0.183968 -0.204917 -0.204917 -0.20556 -0.20556 -0.20707 -0.20707 -0.209218 -0.209218 -0.2122 
-14.5885 3.82815e-15 3.829e-15 1.36421 1.36421 888661 888661 31981.4 31981.4 843319 843319 840700 840700 339187 339187 741077 741077 185853 -0.100285 -0.100285 -0.111337 -0.111337 -0.170646 -0.170646 -0.183968 -0.183968 -0.204917 -0.204917 -0.20556 -0.20556 -0.20707 -0.20707 -0.209218 -0.209218 -0.2122 
-14.0672 6.21819e-14 6.21852e-14 2.26251 2.26251 890896 890896 1805.57 1805.57 922462 922462 750031 750031 513060 513060 514562 514562 489345 -0.100285 -0.100285 -0.111337 -0.111337 -0.170646 -0.170646 -0.183968 -0.183968 -0.204917 -0.204917 -0.20556 -0.20556 -0.20707 -0.20707 -0.209218 -0.209218 -0.2122 
-13.5688 8.74634e-13 8.74643e-13 3.6699 3.6699 884106 884106 7866.46 7866.46 917136 917136 662423 662423 681668 681668 290512 290512 786335 -0.100285 -0.100285 -0.111337 -0.111337 -0.170646 -0.170646 -0.183968 -0.183968 -0.204917 -0.204917 -0.20556 -0.20556 -0.20707 -0.20707 -0.209218 -0.209218 -0.2122 
-13.0924 1.07576e-11 1.07576e-11 5.82778 5.82778 869699 869699 45155.3 45155.3 838876 838876 580216 580216 830337 830337 116049 116049 971811 -0.100285 -0.100285 -0.111337 -0.111337 -0.170646 -0.170646 -0.183968 -0.183968 -0.204917 -0.204917 -0.20556 -0.20556 -0.20707 -0.20707 -0.209218 -0.209218 -0.2122 
-12.6371 1.16713e-10 1.16713e-10 9.06875 9.06875 849032 849032 107159 107159 708781 708781 504768 504768 949977 949977 18274 18274 999676 -0.100285 -0.100285 -0.111337 -0.111337 -0.170646 -0.170646 -0.183968 -0.183968 -0.204917 -0.204917 -0.20556 -0.20556 -0.20707 -0.20707 -0.209218 -0.209218 -0.2122 
-12.2018 1.12574e-09 1.12574e-09 13.8413 13.8413 823376 823376 186831 186831 551483 551483 436699 436699 1.03641e+06 1.03641e+06 4487.44 4487.44 881810 -0.100285 -0.100285 -0.111337 -0.111337 -0.170646 -0.170646 -0.183968 -0.183968 -0.204917 -0.204917 -0.20556 -0.20556 -0.20707 -0.20707 -0.209218 -0.209218 -0.2122 
-11.7858 9.72196e-09 9.72196e-09 20.7379 20.7379 793884 793884 277314 277314 390419 390419 376105 376105 1.08928e+06 1.08928e+06 66495.8 66495.8 668687 -0.100285 -0.100285 -0.111337 -0.111337 -0.170646 -0.170646 -0.183968 -0.183968 -0.204917 -0.204917 -0.20556 -0.20556 -0.20707 -0.20707 -0.209218 -0.209218 -0.2122 
-11.3882 7.56616e-08 7.56616e-08 30.5255 30.5255 761579 761579 372433 372433 244778 244778 322730 322730 1.11095e+06 1.11095e+06 186449 186449 424915 -0.100285 -0.100285 -0.111337 -0.111337 -0.170646 -0.170646 -0.183968 -0.183968 -0.204917 -0.204917 -0.20556 -0.20556 -0.20707 -0.20707 -0.209218 -0.209218 -0.2122 
-11.0081 5.33798e-07 5.33798e-07 44.1786 44.1786 727352 727352 466964 466964 128064 128064 276104 276104 1.10537e+06 1.10537e+06 342408 342408 209036 -0.100285 -0.100285 -0.111337 -0.111337 -0.170646 -0.170646 -0.183968 -0.183968 -0.204917 -0.204917 -0.20556 -0.20556 -0.20707 -0.20707 -0.209218 -0.209218 -0.2122 
-10.6447 3.43263e-06 3.43263e-06 62.9125 62.9125 691962 691962 556759 556759 47901 47901 235638 235638 1.07731e+06 1.07731e+06 512691 512691 61582 -0.100285 -0.100285 -0.111337 -0.111337 -0.170646 -0.170646 -0.183968 -0.183968 -0.204917 -0.204917 -0.20556 -0.20556 -0.20707 -0.20707 -0.209218 -0.209218 -0.2122 
-10.2975 2.02214e-05 2.02214e-05 88.2166 88.2166 656047 656047 638738 638738 6684.1 6684.1 200697 200697 1.03172e+06 1.03172e+06 678687 678687 1366.35 -0.100285 -0.100285 -0.111337 -0.111337 -0.170646 -0.170646 -0.183968 -0.183968 -0.204917 -0.204917 -0.20556 -0.20556 -0.20707 -0.20707 -0.209218 -0.209218 -0.2122 
-9.9655 0.000109638 0.000109638 121.886 121.886 620131 620131 710807 710807 2679.56 2679.56 170646 170646 973267 973267 826272 826272 27742.2 -0.100285 -0.100285 -0.111337 -0.111337 -0.170646 -0.170646 -0.183968 -0.183968 -0.204917 -0.204917 -0.20556 -0.20556 -0.20707 -0.20707 -0.209218 -0.209218 -0.2122 
-9.6482 0.000549493 0.000549493 166.049 166.049 584640 584640 771732 771732 31264.1 31264.1 144876 144876 906157 906157 946146 946146 126059 -0.100285 -0.100285 -0.111337 -0.111337 -0.170646 -0.170646 -0.183968 -0.183968 -0.204917 -0.204917 -0.20556 -0.20556 -0.20707 -0.20707 -0.209218 -0.209218 -0.2122 
-9.34491 0.00255606 0.00255606 223.198 223.198 549908 549908 820991 820991 86101.9 86101.9 122827 122827 833965 833965 1.03344e+06 1.03344e+06 273950 -0.100285 -0.100285 -0.111337 -0.111337 -0.170646 -0.170646 -0.183968 -0.183968 -0.204917 -0.204917 -0.20556 -0.20556 -0.20707 -0.20707 -0.209218 -0.209218 -0.2122 
-9.05501 0.0110773 0.0110773 296.215 296.215 516192 516192 858621 858621 160139 160139 103991 103991 759621 759621 1.08695e+06 1.08695e+06 446894 -0.100285 -0.100285 -0.111337 -0.111337 -0.170646 -0.170646 -0.183968 -0.183968 -0.204917 -0.204917 -0.20556 -0.20556 -0.20707 -0.20707 -0.209218 -0.209218 -0.2122 
-8.7779 0.0448837 0.0448837 388.411 388.411 483684 483684 885083 885083 246365 246365 87919 87919 685438 685438 1.10821e+06 1.10821e+06 622302 -0.100285 -0.100285 -0.111337 -0.111337 -0.170646 -0.170646 -0.183968 -0.183968 -0.204917 -0.204917 -0.20556 -0.20556 -0.20707 -0.20707 -0.209218 -0.209218 -0.2122 
