# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi ElPotential Eg eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z CurrentDensity_x CurrentDensity_y CurrentDensity_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z IonizedDonors IonizedAcceptors NetRecombination SRHRecombination AugerRecombination OpticalGeneration 
-0.662063 0.0425109 -1.0763 7.05708e-08 -0.597989 2.18097 1.11881 4.96051e+18 4.85075e+11 108.05 73.1026 0.0020335 0 0 0.174677 0 0 0.176944 0 0 -0.00226687 0 0 4.96051e+18 0 -8.38122e+20 1.61853e+20 2.42626e+16 -1e+21 
-0.648171 0.0425109 -1.0763 7.34318e-08 -0.598515 2.18097 1.11881 4.96051e+18 4.95046e+11 108.05 73.1102 0.00203355 0 0 0.174677 0 0 0.176758 0 0 -0.0020807 0 0 4.96051e+18 0 -8.34795e+20 1.6518e+20 2.47614e+16 -1e+21 
-0.634529 0.042511 -1.0763 7.62384e-08 -0.598979 2.18097 1.11881 4.96051e+18 5.04009e+11 108.05 73.1171 0.00203361 0 0 0.174677 0 0 0.176576 0 0 -0.00189857 0 0 4.96051e+18 0 -8.31804e+20 1.68171e+20 2.52096e+16 -1e+21 
-0.621132 0.042511 -1.0763 7.89917e-08 -0.599386 2.18097 1.11881 4.96051e+18 5.12012e+11 108.05 73.1234 0.00203366 0 0 0.174677 0 0 0.176398 0 0 -0.00172031 0 0 4.96051e+18 0 -8.29133e+20 1.70841e+20 2.561e+16 -1e+21 
-0.607975 0.042511 -1.0763 8.16929e-08 -0.599742 2.18097 1.11881 4.96051e+18 5.19105e+11 108.05 73.1292 0.0020337 0 0 0.174677 0 0 0.176223 0 0 -0.00154579 0 0 4.96051e+18 0 -8.26766e+20 1.73208e+20 2.59647e+16 -1e+21 
-0.595055 0.042511 -1.0763 8.4343e-08 -0.60005 2.18097 1.11881 4.96051e+18 5.25333e+11 108.05 73.1345 0.00203375 0 0 0.174677 0 0 0.176052 0 0 -0.00137486 0 0 4.96051e+18 0 -8.24688e+20 1.75286e+20 2.62763e+16 -1e+21 
-0.582368 0.042511 -1.0763 8.69429e-08 -0.600315 2.18097 1.11881 4.96051e+18 5.3074e+11 108.05 73.1394 0.0020338 0 0 0.174677 0 0 0.175885 0 0 -0.0012074 0 0 4.96051e+18 0 -8.22883e+20 1.7709e+20 2.65467e+16 -1e+21 
-0.569908 0.042511 -1.0763 8.94937e-08 -0.600539 2.18097 1.11881 4.96051e+18 5.35368e+11 108.05 73.1439 0.00203384 0 0 0.174677 0 0 0.175721 0 0 -0.00104329 0 0 4.96051e+18 0 -8.21339e+20 1.78635e+20 2.67782e+16 -1e+21 
-0.557672 0.042511 -1.0763 9.19964e-08 -0.600727 2.18097 1.11881 4.96051e+18 5.39257e+11 108.05 73.148 0.00203389 0 0 0.174677 0 0 0.17556 0 0 -0.000882395 0 0 4.96051e+18 0 -8.20041e+20 1.79932e+20 2.69727e+16 -1e+21 
-0.545655 0.042511 -1.0763 9.44519e-08 -0.600879 2.18097 1.11881 4.96051e+18 5.42443e+11 108.05 73.1519 0.00203393 0 0 0.174677 0 0 0.175402 0 0 -0.000724623 0 0 4.96051e+18 0 -8.18978e+20 1.80995e+20 2.71321e+16 -1e+21 
