# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Ec
# 3 Ev
# 4 eQFermi
# 5 hQFermi
# 6 eDensity
# 7 hDensity
# 8 eMobility
# 9 hMobility
# 10 ElField_x
# 11 ElField_y
# 12 ElField_z
# 13 Polarization_x
# 14 Polarization_y
# 15 Polarization_z
# 16 CurrentDensity_x
# 17 CurrentDensity_y
# 18 CurrentDensity_z
# x Ec Ev eQFermi hQFermi eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z CurrentDensity_x CurrentDensity_y CurrentDensity_z 
-75.6231 0.0608427 -1.83581 -0.0150212 -1.71574 9.4117e+17 1.59557e+17 3350.83 145.842 -1581.88 0 0 0 0 0 -569920 0 0 
-73.3988 0.0604903 -1.83616 -0.0152633 -1.71685 9.45156e+17 1.6427e+17 3350.83 145.842 -1586.14 0 0 0 0 0 -569920 0 0 
-71.2236 0.0601449 -1.8365 -0.0154988 -1.71793 9.49148e+17 1.68988e+17 3350.83 145.842 -1590.36 0 0 0 0 0 -569920 0 0 
-69.0966 0.0598061 -1.83684 -0.015728 -1.71898 9.53143e+17 1.7371e+17 3350.83 145.842 -1594.55 0 0 0 0 0 -569920 0 0 
-67.0165 0.059474 -1.83717 -0.0159509 -1.72001 9.57139e+17 1.78432e+17 3350.83 145.842 -1598.69 0 0 0 0 0 -569920 0 0 
-64.9825 0.0591484 -1.8375 -0.0161678 -1.72101 9.61135e+17 1.83152e+17 3350.83 145.842 -1602.78 0 0 0 0 0 -569920 0 0 
-62.9934 0.0588292 -1.83782 -0.0163788 -1.72199 9.65128e+17 1.87868e+17 3350.83 145.842 -1606.8 0 0 0 0 0 -569920 0 0 
-61.0483 0.0585163 -1.83813 -0.0165842 -1.72295 9.69116e+17 1.92578e+17 3350.83 145.842 -1610.75 0 0 0 0 0 -569920 0 0 
-59.1461 0.0582096 -1.83844 -0.0167839 -1.72388 9.73097e+17 1.97279e+17 3350.83 145.842 -1614.6 0 0 0 0 0 -569920 0 0 
-57.2861 0.0579089 -1.83874 -0.0169783 -1.72479 9.77068e+17 2.01969e+17 3350.83 145.842 -1618.32 0 0 0 0 0 -569920 0 0 
-55.4671 0.0576142 -1.83903 -0.0171675 -1.72568 9.81028e+17 2.06646e+17 3350.83 145.842 -1621.86 0 0 0 0 0 -569920 0 0 
-53.6883 0.0573254 -1.83932 -0.0173515 -1.72655 9.84972e+17 2.11308e+17 3350.83 145.842 -1625.15 0 0 0 0 0 -569920 0 0 
-51.9489 0.0570424 -1.83961 -0.0175307 -1.7274 9.88899e+17 2.15953e+17 3350.83 145.842 -1628.07 0 0 0 0 0 -569920 0 0 
-50.2479 0.0567653 -1.83988 -0.017705 -1.72822 9.92804e+17 2.2058e+17 3350.83 145.842 -1630.46 0 0 0 0 0 -569920 0 0 
-48.5846 0.0564939 -1.84015 -0.0178746 -1.72903 9.96682e+17 2.25188e+17 3350.83 145.842 -1632.05 0 0 0 0 0 -569920 0 0 
-46.9579 0.0562283 -1.84042 -0.0180397 -1.72982 1.00053e+18 2.29776e+17 3350.83 145.842 -1632.44 0 0 0 0 0 -569920 0 0 
-45.3673 0.0559687 -1.84068 -0.0182004 -1.73059 1.00433e+18 2.34345e+17 3350.83 145.842 -1631.04 0 0 0 0 0 -569920 0 0 
-43.8118 0.0557152 -1.84093 -0.0183568 -1.73135 1.00807e+18 2.38895e+17 3350.83 145.842 -1626.98 0 0 0 0 0 -569920 0 0 
-42.2907 0.0554681 -1.84118 -0.018509 -1.73208 1.01174e+18 2.43429e+17 3350.83 145.842 -1618.95 0 0 0 0 0 -569920 0 0 
-40.8032 0.0552281 -1.84142 -0.0186572 -1.7328 1.0153e+18 2.47952e+17 3350.83 145.842 -1605.08 0 0 0 0 0 -569920 0 0 
-39.3486 0.0549958 -1.84165 -0.0188016 -1.7335 1.01873e+18 2.52471e+17 3350.83 145.842 -1582.64 0 0 0 0 0 -569920 0 0 
-37.9262 0.0547727 -1.84188 -0.0189421 -1.73419 1.02196e+18 2.56999e+17 3350.83 145.842 -1547.74 0 0 0 0 0 -569920 0 0 
-36.5352 0.0545603 -1.84209 -0.019079 -1.73486 1.02492e+18 2.61554e+17 3350.83 145.842 -1494.82 0 0 0 0 0 -569920 0 0 
-35.1749 0.0543612 -1.84229 -0.0192124 -1.73551 1.0275e+18 2.66163e+17 3350.83 145.842 -1416.1 0 0 0 0 0 -569920 0 0 
-33.8447 0.054179 -1.84247 -0.0193425 -1.73615 1.02955e+18 2.70864e+17 3350.83 145.842 -1300.65 0 0 0 0 0 -569920 0 0 
-32.5439 0.0540186 -1.84263 -0.0194693 -1.73677 1.03088e+18 2.75713e+17 3350.83 145.842 -1133.38 0 0 0 0 0 -569920 0 0 
-31.2719 0.0538868 -1.84276 -0.0195932 -1.73737 1.03119e+18 2.80787e+17 3350.83 145.842 -893.53 0 0 0 0 0 -569920 0 0 
-30.028 0.053793 -1.84286 -0.0197142 -1.73796 1.03011e+18 2.86196e+17 3350.83 145.842 -552.879 0 0 0 0 0 -569920 0 0 
