# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 ProbabilityDensity_0
# 3 ProbabilityDensity_1
# 4 ProbabilityDensity_2
# 5 ProbabilityDensity_3
# 6 ProbabilityDensity_4
# 7 ProbabilityDensity_5
# 8 ProbabilityDensity_6
# 9 ProbabilityDensity_7
# 10 ProbabilityDensity_8
# 11 ProbabilityDensity_9
# 12 ProbabilityDensity_10
# 13 ProbabilityDensity_11
# 14 ProbabilityDensity_12
# 15 eDensity
# 16 hDensity
# x ProbabilityDensity_0 ProbabilityDensity_1 ProbabilityDensity_2 ProbabilityDensity_3 ProbabilityDensity_4 ProbabilityDensity_5 ProbabilityDensity_6 ProbabilityDensity_7 ProbabilityDensity_8 ProbabilityDensity_9 ProbabilityDensity_10 ProbabilityDensity_11 ProbabilityDensity_12 eDensity hDensity 
-4.39394 437776 437776 494183 494183 1.06794e+06 1.06794e+06 1.41553e+06 1.41553e+06 1.18035e+06 1.18035e+06 1.19381e+06 1.19381e+06 2679.91 0 6.89143e+18 
-4.29293 485688 485688 528214 528214 1.1619e+06 1.1619e+06 1.45944e+06 1.45944e+06 1.22688e+06 1.22688e+06 1.10734e+06 1.10734e+06 774.314 0 7.40629e+18 
-4.19192 533848 533848 562068 562068 1.25084e+06 1.25084e+06 1.48256e+06 1.48256e+06 1.26756e+06 1.26756e+06 999407 999407 12.3286 0 7.90366e+18 
-4.09091 581911 581911 595654 595654 1.33359e+06 1.33359e+06 1.48442e+06 1.48442e+06 1.30214e+06 1.30214e+06 875177 875177 434.764 0 8.38114e+18 
-3.9899 629554 629554 628884 628884 1.40916e+06 1.40916e+06 1.46518e+06 1.46518e+06 1.33042e+06 1.33042e+06 740508 740508 2019.24 0 8.83699e+18 
-3.88889 676478 676478 661679 661679 1.47665e+06 1.47665e+06 1.42559e+06 1.42559e+06 1.35229e+06 1.35229e+06 601689 601689 4682.23 0 9.27003e+18 
-3.78788 722409 722409 693966 693966 1.53535e+06 1.53535e+06 1.36698e+06 1.36698e+06 1.36769e+06 1.36769e+06 465140 465140 8284.2 0 9.67964e+18 
-3.68687 767102 767102 725677 725677 1.58465e+06 1.58465e+06 1.29115e+06 1.29115e+06 1.37661e+06 1.37661e+06 337118 337118 12637.7 0 1.00657e+19 
-3.58586 810340 810340 756751 756751 1.62414e+06 1.62414e+06 1.20038e+06 1.20038e+06 1.37911e+06 1.37911e+06 223442 223442 17517.9 0 1.04284e+19 
-3.48485 851933 851933 787130 787130 1.6535e+06 1.6535e+06 1.09732e+06 1.09732e+06 1.3753e+06 1.3753e+06 129234 129234 22674.3 0 1.07683e+19 
-3.38384 891721 891721 816764 816764 1.67261e+06 1.67261e+06 984895 984895 1.36533e+06 1.36533e+06 58706.9 58706.9 27844.5 0 1.10862e+19 
-3.28283 929573 929573 845606 845606 1.68146e+06 1.68146e+06 866248 866248 1.34942e+06 1.34942e+06 14987.8 14987.8 32767.4 0 1.13832e+19 
-3.18182 965385 965385 873617 873617 1.68017e+06 1.68017e+06 744634 744634 1.32779e+06 1.32779e+06 1.46884 1.46884 37196.7 0 1.16603e+19 
-3.08081 999082 999082 900761 900761 1.66899e+06 1.66899e+06 623336 623336 1.30075e+06 1.30075e+06 14403.3 14403.3 40913 0 1.19186e+19 
-2.9798 1.03061e+06 1.03061e+06 927006 927006 1.64828e+06 1.64828e+06 505576 505576 1.26862e+06 1.26862e+06 57571.5 57571.5 43734.6 0 1.21592e+19 
-2.87879 1.05995e+06 1.05995e+06 952326 952326 1.61852e+06 1.61852e+06 394438 394438 1.23175e+06 1.23175e+06 127654 127654 45526 0 1.23833e+19 
-2.77778 1.08709e+06 1.08709e+06 976701 976701 1.58024e+06 1.58024e+06 292788 292788 1.19052e+06 1.19052e+06 221666 221666 46204.1 0 1.25918e+19 
-2.67677 1.11205e+06 1.11205e+06 1.00011e+06 1.00011e+06 1.53409e+06 1.53409e+06 203212 203212 1.14534e+06 1.14534e+06 335637 335637 45741.4 0 1.27856e+19 
-2.57576 1.13488e+06 1.13488e+06 1.02255e+06 1.02255e+06 1.48075e+06 1.48075e+06 127956 127956 1.09664e+06 1.09664e+06 464791 464791 44166.8 0 1.29655e+19 
-2.47475 1.15561e+06 1.15561e+06 1.04401e+06 1.04401e+06 1.42098e+06 1.42098e+06 68881 68881 1.04487e+06 1.04487e+06 603763 603763 41563.4 0 1.31322e+19 
-2.37374 1.17433e+06 1.17433e+06 1.06447e+06 1.06447e+06 1.35557e+06 1.35557e+06 27428.2 27428.2 990485 990485 746826 746826 38063.6 0 1.32862e+19 
-2.27273 1.19111e+06 1.19111e+06 1.08395e+06 1.08395e+06 1.28533e+06 1.28533e+06 4595.64 4595.64 933947 933947 888138 888138 33842.1 0 1.3428e+19 
-2.17172 1.20604e+06 1.20604e+06 1.10244e+06 1.10244e+06 1.2111e+06 1.2111e+06 926.082 926.082 875730 875730 1.02198e+06 1.02198e+06 29106.9 0 1.3558e+19 
-2.07071 1.21924e+06 1.21924e+06 1.11994e+06 1.11994e+06 1.13372e+06 1.13372e+06 16506.3 16506.3 816307 816307 1.143e+06 1.143e+06 24089 0 1.36766e+19 
-1.9697 1.2308e+06 1.2308e+06 1.13647e+06 1.13647e+06 1.05404e+06 1.05404e+06 50977.2 50977.2 756149 756149 1.24639e+06 1.24639e+06 19031 0 1.3784e+19 
-1.86869 1.24085e+06 1.24085e+06 1.15204e+06 1.15204e+06 972864 972864 103553 103553 695724 695724 1.32812e+06 1.32812e+06 14175.6 0 1.38805e+19 
-1.76768 1.24949e+06 1.24949e+06 1.16665e+06 1.16665e+06 891019 891019 173051 173051 635489 635489 1.38505e+06 1.38505e+06 9754.1 0 1.39666e+19 
-1.66667 1.25686e+06 1.25686e+06 1.18033e+06 1.18033e+06 809285 809285 257926 257926 575891 575891 1.41504e+06 1.41504e+06 5975.72 0 1.40426e+19 
-1.56566 1.26306e+06 1.26306e+06 1.19308e+06 1.19308e+06 728413 728413 356313 356313 517365 517365 1.41705e+06 1.41705e+06 3018.15 0 1.41088e+19 
-1.46465 1.26822e+06 1.26822e+06 1.20492e+06 1.20492e+06 649119 649119 466076 466076 460329 460329 1.39115e+06 1.39115e+06 1019.67 0 1.41658e+19 
-1.36364 1.27246e+06 1.27246e+06 1.21588e+06 1.21588e+06 572081 572081 584860 584860 405183 405183 1.33849e+06 1.33849e+06 73.2073 0 1.42141e+19 
-1.26263 1.27588e+06 1.27588e+06 1.22596e+06 1.22596e+06 497931 497931 710142 710142 352309 352309 1.26127e+06 1.26127e+06 222.574 0 1.42543e+19 
-1.16162 1.2786e+06 1.2786e+06 1.23518e+06 1.23518e+06 427258 427258 839291 839291 302065 302065 1.1626e+06 1.1626e+06 1460.93 0 1.42872e+19 
-1.06061 1.28071e+06 1.28071e+06 1.24357e+06 1.24357e+06 360605 360605 969620 969620 254787 254787 1.04642e+06 1.04642e+06 3731.58 0 1.43134e+19 
