# angle P exx eyy ezz exz
36 0.0017483 0.0169874 -0.0217791 -0.0212146 0.00301949
37 0.0009002 0.0170904 -0.0217791 -0.0211873 0.00283677
38 7.23e-05 0.0171853 -0.0217791 -0.0211598 0.00264746
39 -0.0007346 0.017272 -0.0217791 -0.021132 0.00245231
40 -0.0015201 0.0173504 -0.0217791 -0.021104 0.00225208
41 -0.0022837 0.0174205 -0.0217791 -0.0210758 0.00204751
42 -0.0030249 0.0174822 -0.0217791 -0.0210475 0.00183932
43 -0.0037431 0.0175356 -0.0217791 -0.0210191 0.00162823
44 -0.004438 0.0175805 -0.0217791 -0.0209907 0.00141494
45 -0.0051092 0.0176171 -0.0217791 -0.0209621 0.00120014
46 -0.0057561 0.0176454 -0.0217791 -0.0209336 0.000984531
47 -0.0063782 0.0176654 -0.0217791 -0.0209051 0.000768787
48 -0.0069752 0.0176771 -0.0217791 -0.0208767 0.000553587
49 -0.0075464 0.0176807 -0.0217791 -0.0208484 0.00033961
50 -0.0080914 0.0176762 -0.0217791 -0.0208203 0.000127529
51 -0.0086094 0.0176636 -0.0217791 -0.0207923 -8.19763e-05
52 -0.0090999 0.0176432 -0.0217791 -0.0207645 -0.000288228
53 -0.0095622 0.017615 -0.0217791 -0.0207369 -0.000490541
54 -0.0099954 0.0175791 -0.0217791 -0.0207097 -0.000688227
55 -0.010399 0.0175357 -0.0217791 -0.0206827 -0.00088059
56 -0.0107718 0.017485 -0.0217791 -0.0206561 -0.00106693
57 -0.0111132 0.0174271 -0.0217791 -0.0206298 -0.00124653
58 -0.0114219 0.0173623 -0.0217791 -0.020604 -0.00141869
59 -0.0116971 0.0172907 -0.0217791 -0.0205786 -0.00158267
60 -0.0119378 0.0172126 -0.0217791 -0.0205536 -0.00173776
61 -0.0121426 0.0171283 -0.0217791 -0.0205292 -0.00188322
62 -0.0123106 0.0170381 -0.0217791 -0.0205053 -0.00201832
63 -0.0124406 0.0169423 -0.0217791 -0.0204819 -0.00214235
64 -0.0125312 0.0168413 -0.0217791 -0.0204591 -0.00225457
