# Parameter sweep (sweep_forward)
# Simulation    : driftdiffusion
# Sweep variable: $Vg
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# anode.current            A/cm^2         real
# cathode.current          A/cm^2         real
# --------------------------------------------------
#
# $Vg anode.current cathode.current 
0 0 0
0.025 4.04575e-22 -4.04575e-22
0.05 -7.75419e-21 7.75419e-21
0.075 -3.22517e-20 3.22517e-20
0.1 1.08388e-19 -1.08388e-19
0.125 2.47116e-19 -2.47116e-19
0.15 -4.89847e-20 4.89847e-20
0.175 1.99705e-20 -1.99705e-20
0.2 2.44228e-19 -2.44228e-19
0.225 9.41397e-20 -9.41397e-20
0.25 -2.65389e-20 2.65389e-20
0.275 -3.25337e-19 3.25337e-19
0.3 -2.29593e-21 2.29593e-21
0.325 7.09944e-20 -7.09944e-20
0.35 -2.10273e-20 2.10273e-20
0.375 -4.47749e-19 4.47749e-19
0.4 4.91593e-19 -4.91593e-19
0.425 -7.11504e-19 7.11504e-19
0.45 -4.07488e-19 4.07488e-19
0.475 1.60577e-19 -1.60577e-19
0.5 -5.83496e-19 5.83496e-19
0.525 -1.4008e-19 1.4008e-19
0.55 3.77404e-19 -3.77404e-19
0.575 4.15408e-19 -4.15408e-19
0.6 -2.77316e-19 2.77316e-19
0.625 -9.94311e-19 9.94311e-19
0.65 -4.25052e-19 4.25052e-19
0.675 -9.72971e-19 9.72971e-19
0.7 -2.66972e-18 2.66972e-18
0.725 -4.71083e-18 4.71083e-18
0.75 -9.13394e-18 9.13394e-18
0.775 -1.90023e-17 1.90023e-17
0.8 -4.69775e-17 4.69775e-17
0.825 -1.12289e-16 1.12289e-16
0.85 -2.80254e-16 2.80254e-16
0.875 -7.21238e-16 7.21238e-16
0.9 -1.86595e-15 1.86595e-15
0.925 -4.84072e-15 4.84072e-15
0.95 -1.25609e-14 1.25609e-14
0.975 -3.25165e-14 3.25165e-14
1 -8.41084e-14 8.41084e-14
1.025 -2.17246e-13 2.17246e-13
1.05 -5.60179e-13 5.60179e-13
1.075 -1.44189e-12 1.44189e-12
1.1 -3.70414e-12 3.70414e-12
1.125 -9.49571e-12 9.49571e-12
1.15 -2.42885e-11 2.42885e-11
1.175 -6.19729e-11 6.19729e-11
1.2 -1.57739e-10 1.57739e-10
1.225 -4.00411e-10 4.00411e-10
1.25 -1.01371e-09 1.01371e-09
1.275 -2.5593e-09 2.5593e-09
1.3 -6.4425e-09 6.4425e-09
1.325 -1.61661e-08 1.61661e-08
1.35 -4.04078e-08 4.04078e-08
1.375 -1.00421e-07 1.00421e-07
1.4 -2.46952e-07 2.46952e-07
1.425 -5.95215e-07 5.95215e-07
1.45 -1.38829e-06 1.38829e-06
1.475 -3.0963e-06 3.0963e-06
1.5 -6.53455e-06 6.53455e-06
1.525 -1.30598e-05 1.30598e-05
1.55 -2.38212e-05 2.38212e-05
1.575 -3.4232e-05 3.4232e-05
1.6 -4.83751e-05 4.83751e-05
1.625 -6.49189e-05 6.49189e-05
1.65 -8.36282e-05 8.36282e-05
1.675 -0.000103759 0.000103759
1.7 -0.000124823 0.000124823
1.725 -0.000146471 0.000146471
1.75 -0.000168467 0.000168467
1.775 -0.000190663 0.000190663
1.8 -0.00021297 0.00021297
1.825 -0.000235332 0.000235332
1.85 -0.000257717 0.000257717
1.875 -0.000280108 0.000280108
1.9 -0.000302495 0.000302495
1.925 -0.000324873 0.000324873
1.95 -0.000347241 0.000347241
1.975 -0.000369601 0.000369601
2 -0.000391955 0.000391955
2.025 -0.000414307 0.000414307
2.05 -0.000436662 0.000436662
2.075 -0.000459024 0.000459024
2.1 -0.000481401 0.000481401
2.125 -0.000503796 0.000503796
2.15 -0.000526218 0.000526218
2.175 -0.00054867 0.00054867
2.2 -0.00057116 0.00057116
2.225 -0.000593695 0.000593695
2.25 -0.000616279 0.000616279
2.275 -0.000638921 0.000638921
2.3 -0.000661625 0.000661625
2.325 -0.000684399 0.000684399
2.35 -0.000707248 0.000707248
2.375 -0.00073018 0.00073018
2.4 -0.0007532 0.0007532
2.425 -0.000776315 0.000776315
2.45 -0.00079953 0.00079953
2.475 -0.000822854 0.000822854
2.5 -0.000846291 0.000846291
2.525 -0.000869849 0.000869849
2.55 -0.000893533 0.000893533
2.575 -0.000917349 0.000917349
2.6 -0.000941305 0.000941305
2.625 -0.000965407 0.000965407
2.65 -0.00098966 0.00098966
2.675 -0.00101407 0.00101407
2.7 -0.00103865 0.00103865
2.725 -0.0010634 0.0010634
2.75 -0.00108832 0.00108832
2.775 -0.00111343 0.00111343
2.8 -0.00113873 0.00113873
2.825 -0.00116423 0.00116423
2.85 -0.00118993 0.00118993
2.875 -0.00121584 0.00121584
2.9 -0.00124197 0.00124197
2.925 -0.00126832 0.00126832
2.95 -0.00129491 0.00129491
2.975 -0.00132173 0.00132173
3 -0.00134879 0.00134879
3.025 -0.00137611 0.00137611
3.05 -0.00140368 0.00140368
3.075 -0.00143152 0.00143152
3.1 -0.00145964 0.00145964
3.125 -0.00148803 0.00148803
3.15 -0.00151671 0.00151671
3.175 -0.00154568 0.00154568
3.2 -0.00157495 0.00157495
3.225 -0.00160453 0.00160453
3.25 -0.00163443 0.00163443
3.275 -0.00166466 0.00166466
3.3 -0.00169521 0.00169521
3.325 -0.00172611 0.00172611
3.35 -0.00175735 0.00175735
3.375 -0.00178894 0.00178894
3.4 -0.0018209 0.0018209
3.425 -0.00185324 0.00185324
3.45 -0.00188595 0.00188595
3.475 -0.00191905 0.00191905
3.5 -0.00195255 0.00195255
3.525 -0.00198645 0.00198645
3.55 -0.00202077 0.00202077
3.575 -0.00205551 0.00205551
3.6 -0.00209068 0.00209068
3.625 -0.0021263 0.0021263
3.65 -0.00216236 0.00216236
3.675 -0.00219888 0.00219888
3.7 -0.00223587 0.00223587
3.725 -0.00227335 0.00227335
3.75 -0.00231131 0.00231131
3.775 -0.00234976 0.00234976
3.8 -0.00238873 0.00238873
3.825 -0.00242821 0.00242821
3.85 -0.00246823 0.00246823
3.875 -0.00250878 0.00250878
3.9 -0.00254988 0.00254988
