# Parameter sweep (sweep_drain)
# Simulation    : driftdiffusion
# Sweep variable: $Vd
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# drain.current            A              real
# gate.current             A              real
# source.current           A              real
# --------------------------------------------------
#
# $Vd drain.current gate.current source.current 
0 0 0 0
0.05 -1.78758e-07 4.2178e-15 1.78758e-07
0.1 -1.85712e-07 4.33882e-15 1.85712e-07
0.15 -1.89333e-07 4.47045e-15 1.89333e-07
0.2 -1.92025e-07 4.57532e-15 1.92025e-07
0.25 -1.94204e-07 4.62747e-15 1.94204e-07
0.3 -1.96052e-07 4.67017e-15 1.96052e-07
0.35 -1.97667e-07 4.7161e-15 1.97667e-07
0.4 -1.99106e-07 4.74471e-15 1.99106e-07
0.45 -2.00409e-07 3.57229e-16 2.00409e-07
0.5 -2.01602e-07 4.80356e-15 2.01602e-07
0.55 -2.02704e-07 5.13155e-15 2.02704e-07
0.6 -2.0373e-07 4.85292e-15 2.0373e-07
0.65 -2.04691e-07 5.60146e-15 2.04691e-07
0.7 -2.05596e-07 4.95529e-15 2.05596e-07
0.75 -2.06452e-07 4.80169e-15 2.06452e-07
0.8 -2.07264e-07 4.93772e-15 2.07264e-07
0.85 -2.08037e-07 4.95649e-15 2.08037e-07
0.9 -2.08777e-07 4.97433e-15 2.08777e-07
0.95 -2.09485e-07 4.99157e-15 2.09485e-07
1 -2.10163e-07 5.00697e-15 2.10163e-07
1.05 -2.10816e-07 4.89736e-15 2.10816e-07
1.1 -2.11446e-07 5.03796e-15 2.11445e-07
1.15 -2.12053e-07 5.05259e-15 2.12053e-07
1.2 -2.12641e-07 5.06638e-15 2.12641e-07
1.25 -2.1321e-07 5.07964e-15 2.1321e-07
1.3 -2.13762e-07 5.09315e-15 2.13762e-07
1.35 -2.14297e-07 5.1068e-15 2.14297e-07
1.4 -2.14817e-07 5.11859e-15 2.14817e-07
1.45 -2.15321e-07 5.12974e-15 2.15321e-07
1.5 -2.15813e-07 5.14177e-15 2.15813e-07
1.55 -2.16292e-07 5.15331e-15 2.16292e-07
1.6 -2.16759e-07 5.07045e-15 2.16759e-07
1.65 -2.17215e-07 5.176e-15 2.17215e-07
1.7 -2.1766e-07 5.127e-15 2.1766e-07
1.75 -2.18095e-07 5.19606e-15 2.18095e-07
1.8 -2.18521e-07 5.20657e-15 2.18521e-07
1.85 -2.18937e-07 5.21579e-15 2.18937e-07
1.9 -2.19345e-07 5.22483e-15 2.19345e-07
1.95 -2.19744e-07 5.23488e-15 2.19744e-07
2 -2.20135e-07 5.24448e-15 2.20135e-07
2.05 -2.20519e-07 5.25333e-15 2.20519e-07
2.1 -2.20894e-07 5.26283e-15 2.20894e-07
2.15 -2.21263e-07 5.2714e-15 2.21263e-07
2.2 -2.21624e-07 5.28017e-15 2.21624e-07
2.25 -2.21979e-07 5.28863e-15 2.21979e-07
2.3 -2.22327e-07 5.29605e-15 2.22327e-07
2.35 -2.22669e-07 5.29468e-15 2.22669e-07
2.4 -2.23005e-07 5.31294e-15 2.23005e-07
2.45 -2.23336e-07 5.3208e-15 2.23336e-07
2.5 -2.23661e-07 5.32819e-15 2.23661e-07
2.55 -2.2398e-07 5.33671e-15 2.2398e-07
2.6 -2.24295e-07 5.34366e-15 2.24295e-07
2.65 -2.24604e-07 5.34111e-15 2.24604e-07
2.7 -2.24909e-07 5.35676e-15 2.24909e-07
2.75 -2.25209e-07 5.35537e-15 2.25209e-07
2.8 -2.25504e-07 5.37201e-15 2.25504e-07
2.85 -2.25794e-07 5.37948e-15 2.25794e-07
2.9 -2.26081e-07 5.38584e-15 2.26081e-07
2.95 -2.26363e-07 5.39544e-15 2.26363e-07
3 -2.26641e-07 5.39959e-15 2.26641e-07
3.05 -2.26916e-07 5.40283e-15 2.26916e-07
3.1 -2.27186e-07 5.34681e-15 2.27186e-07
3.15 -2.27453e-07 5.41876e-15 2.27453e-07
3.2 -2.27716e-07 5.425e-15 2.27716e-07
3.25 -2.27976e-07 5.43118e-15 2.27976e-07
3.3 -2.28233e-07 5.43769e-15 2.28233e-07
3.35 -2.28486e-07 5.44351e-15 2.28486e-07
3.4 -2.28736e-07 5.44899e-15 2.28736e-07
3.45 -2.28983e-07 5.45569e-15 2.28983e-07
3.5 -2.29226e-07 5.4607e-15 2.29226e-07
