# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z CurrentDensity_x CurrentDensity_y CurrentDensity_z 
-14.207 0.25832 -1.64044 0 0 1.05743e+15 1.0138e-09 4361.09 218.347 53784 0 0 0 0 0 0 0 0 
-13.7391 0.260853 -1.63791 0 0 1.13699e+15 1.11816e-09 4361.09 218.347 54477.6 0 0 0 0 0 0 0 0 
-13.3123 0.263191 -1.63557 0 0 1.35153e+15 1.22402e-09 4361.09 218.347 55109.3 0 0 0 0 0 0 0 0 
-12.9231 0.265348 -1.63341 0 0 1.76614e+15 1.33049e-09 4361.09 218.347 55683.6 0 0 0 0 0 0 0 0 
-12.5681 0.267333 -1.63143 0 0 2.46838e+15 1.43672e-09 4361.09 218.347 56204.4 0 0 0 0 0 0 0 0 
-12.2444 0.269161 -1.6296 0 0 3.56855e+15 1.54194e-09 4361.09 218.347 56675 0 0 0 0 0 0 0 0 
-11.9491 0.27084 -1.62792 0 0 5.19729e+15 1.64544e-09 4361.09 218.347 57098.2 0 0 0 0 0 0 0 0 
-11.6799 0.272383 -1.62638 0 0 7.50037e+15 1.74662e-09 4361.09 218.347 57476.1 0 0 0 0 0 0 0 0 
-11.4343 0.273798 -1.62496 0 0 1.06309e+16 1.84493e-09 4361.09 218.347 57810.9 0 0 0 0 0 0 0 0 
-11.2103 0.275097 -1.62366 0 0 1.474e+16 1.93994e-09 4361.09 218.347 58104 0 0 0 0 0 0 0 0 
-11.0061 0.276286 -1.62247 0 0 1.99659e+16 2.03128e-09 4361.09 218.347 58357.1 0 0 0 0 0 0 0 0 
-10.8198 0.277375 -1.62138 0 0 2.64247e+16 2.11869e-09 4361.09 218.347 58571.5 0 0 0 0 0 0 0 0 
-10.6499 0.278372 -1.62039 0 0 3.42016e+16 2.20197e-09 4361.09 218.347 58749 0 0 0 0 0 0 0 0 
-10.4949 0.279284 -1.61948 0 0 4.33448e+16 2.281e-09 4361.09 218.347 58891.2 0 0 0 0 0 0 0 0 
-10.3536 0.280117 -1.61864 0 0 5.38622e+16 2.3557e-09 4361.09 218.347 59000 0 0 0 0 0 0 0 0 
-10.2247 0.280878 -1.61788 0 0 6.57212e+16 2.42607e-09 4361.09 218.347 59077.7 0 0 0 0 0 0 0 0 
-10.1072 0.281572 -1.61719 0 0 7.88505e+16 2.49215e-09 4361.09 218.347 59126.5 0 0 0 0 0 0 0 0 
